symptoms_description,disease
"I feel runny nose, sneezing, and sometimes even sore throat.",Common Cold
"Since yesterday, I have noticed runny nose, sore throat, and sneezing.",Common Cold
"Since yesterday, I have noticed cough, sore throat, and sneezing.",Common Cold
There is fever and it feels like runny nose.,Common Cold
"Lately, sneezing has started along with fever and cough.",Common Cold
"Lately, fever has started along with runny nose and sneezing.",Common Cold
"Since yesterday, I have noticed runny nose, sneezing, and cough.",Common Cold
I have cough and also fever.,Common Cold
There is sneezing and it feels like runny nose.,Common Cold
"Lately, sore throat has started along with runny nose and sneezing.",Common Cold
"Since yesterday, I have noticed sore throat, runny nose, and fever.",Common Cold
I have been experiencing fever and runny nose recently.,Common Cold
There is cough and it feels like fever.,Common Cold
There is fever and it feels like runny nose.,Common Cold
My cough and runny nose are bothering me a lot.,Common Cold
"I feel runny nose, cough, and sometimes even sneezing.",Common Cold
"I feel fever, sneezing, and sometimes even runny nose.",Common Cold
"I feel cough, sneezing, and sometimes even runny nose.",Common Cold
"Lately, cough has started along with runny nose and fever.",Common Cold
My sore throat and sneezing are bothering me a lot.,Common Cold
"Since yesterday, I have noticed fever, sore throat, and sneezing.",Common Cold
"Since yesterday, I have noticed cough, runny nose, and fever.",Common Cold
"I feel fever, runny nose, and sometimes even cough.",Common Cold
My runny nose and fever are bothering me a lot.,Common Cold
I have runny nose and also fever.,Common Cold
There is cough and it feels like sneezing.,Common Cold
"I feel fever, runny nose, and sometimes even cough.",Common Cold
I have sneezing and also runny nose.,Common Cold
"Lately, fever has started along with sneezing and cough.",Common Cold
There is sneezing and it feels like runny nose.,Common Cold
"Lately, sneezing has started along with sore throat and fever.",Common Cold
"Lately, sneezing has started along with fever and runny nose.",Common Cold
"I feel fever, sore throat, and sometimes even runny nose.",Common Cold
I have sore throat and also runny nose.,Common Cold
"I feel fever, cough, and sometimes even runny nose.",Common Cold
"Since yesterday, I have noticed sore throat, runny nose, and sneezing.",Common Cold
I have fever and also sneezing.,Common Cold
There is cough and it feels like sneezing.,Common Cold
My cough and sneezing are bothering me a lot.,Common Cold
I have been experiencing cough and sneezing recently.,Common Cold
"Lately, sore throat has started along with sneezing and runny nose.",Common Cold
My sneezing and runny nose are bothering me a lot.,Common Cold
I have sore throat and also sneezing.,Common Cold
"Since yesterday, I have noticed runny nose, sore throat, and cough.",Common Cold
My sneezing and cough are bothering me a lot.,Common Cold
My cough and sore throat are bothering me a lot.,Common Cold
"I feel sore throat, cough, and sometimes even sneezing.",Common Cold
My cough and fever are bothering me a lot.,Common Cold
There is sneezing and it feels like sore throat.,Common Cold
"I feel runny nose, fever, and sometimes even sore throat.",Common Cold
"I feel sore throat, sneezing, and sometimes even fever.",Common Cold
I have been experiencing fever and runny nose recently.,Common Cold
"Lately, fever has started along with runny nose and sore throat.",Common Cold
"Since yesterday, I have noticed runny nose, cough, and sneezing.",Common Cold
"I feel cough, runny nose, and sometimes even fever.",Common Cold
"Since yesterday, I have noticed fever, sneezing, and sore throat.",Common Cold
"Since yesterday, I have noticed cough, runny nose, and sore throat.",Common Cold
"I feel sore throat, runny nose, and sometimes even fever.",Common Cold
"Lately, sneezing has started along with cough and fever.",Common Cold
There is runny nose and it feels like fever.,Common Cold
There is sneezing and it feels like runny nose.,Common Cold
There is cough and it feels like runny nose.,Common Cold
"Since yesterday, I have noticed sneezing, runny nose, and fever.",Common Cold
There is fever and it feels like runny nose.,Common Cold
I have sneezing and also runny nose.,Common Cold
I have runny nose and also cough.,Common Cold
I have been experiencing runny nose and fever recently.,Common Cold
I have been experiencing runny nose and sore throat recently.,Common Cold
"Since yesterday, I have noticed fever, sore throat, and runny nose.",Common Cold
My runny nose and cough are bothering me a lot.,Common Cold
My runny nose and sore throat are bothering me a lot.,Common Cold
I have been experiencing runny nose and fever recently.,Common Cold
"Since yesterday, I have noticed sore throat, sneezing, and runny nose.",Common Cold
My runny nose and fever are bothering me a lot.,Common Cold
I have been experiencing sneezing and fever recently.,Common Cold
"I feel cough, runny nose, and sometimes even sneezing.",Common Cold
I have sore throat and also fever.,Common Cold
"Since yesterday, I have noticed sneezing, sore throat, and fever.",Common Cold
I have runny nose and also sore throat.,Common Cold
There is sneezing and it feels like runny nose.,Common Cold
I have sneezing and also sore throat.,Common Cold
I have been experiencing cough and sore throat recently.,Common Cold
"Since yesterday, I have noticed cough, fever, and sore throat.",Common Cold
My sore throat and fever are bothering me a lot.,Common Cold
I have fever and also runny nose.,Common Cold
"I feel sensitivity to light, nausea, and sometimes even throbbing pain.",Migraine
"I feel throbbing pain, nausea, and sometimes even sensitivity to light.",Migraine
I have been experiencing nausea and sensitivity to light recently.,Migraine
"Since yesterday, I have noticed sensitivity to light, nausea, and throbbing pain.",Migraine
There is nausea and it feels like headache.,Migraine
"Since yesterday, I have noticed headache, nausea, and sensitivity to light.",Migraine
There is throbbing pain and it feels like nausea.,Migraine
I have throbbing pain and also sensitivity to light.,Migraine
"I feel headache, nausea, and sometimes even sensitivity to light.",Migraine
"Since yesterday, I have noticed headache, throbbing pain, and nausea.",Migraine
"I feel throbbing pain, headache, and sometimes even nausea.",Migraine
My throbbing pain and headache are bothering me a lot.,Migraine
"Lately, sensitivity to light has started along with throbbing pain and headache.",Migraine
I have headache and also nausea.,Migraine
I have headache and also nausea.,Migraine
I have been experiencing nausea and throbbing pain recently.,Migraine
"I feel throbbing pain, headache, and sometimes even sensitivity to light.",Migraine
I have sensitivity to light and also nausea.,Migraine
"I feel sensitivity to light, headache, and sometimes even throbbing pain.",Migraine
"I feel sensitivity to light, nausea, and sometimes even headache.",Migraine
"I feel throbbing pain, headache, and sometimes even sensitivity to light.",Migraine
I have nausea and also headache.,Migraine
I have headache and also sensitivity to light.,Migraine
My sensitivity to light and headache are bothering me a lot.,Migraine
There is headache and it feels like nausea.,Migraine
I have been experiencing headache and throbbing pain recently.,Migraine
My sensitivity to light and headache are bothering me a lot.,Migraine
I have been experiencing nausea and sensitivity to light recently.,Migraine
My sensitivity to light and nausea are bothering me a lot.,Migraine
"Since yesterday, I have noticed sensitivity to light, headache, and throbbing pain.",Migraine
I have headache and also throbbing pain.,Migraine
I have headache and also sensitivity to light.,Migraine
I have been experiencing nausea and headache recently.,Migraine
I have headache and also throbbing pain.,Migraine
I have nausea and also sensitivity to light.,Migraine
"I feel sensitivity to light, throbbing pain, and sometimes even headache.",Migraine
I have headache and also throbbing pain.,Migraine
"Since yesterday, I have noticed sensitivity to light, throbbing pain, and headache.",Migraine
There is throbbing pain and it feels like sensitivity to light.,Migraine
"I feel sensitivity to light, throbbing pain, and sometimes even nausea.",Migraine
"I feel sensitivity to light, headache, and sometimes even throbbing pain.",Migraine
There is throbbing pain and it feels like nausea.,Migraine
"Lately, throbbing pain has started along with nausea and sensitivity to light.",Migraine
"Since yesterday, I have noticed headache, nausea, and throbbing pain.",Migraine
I have headache and also throbbing pain.,Migraine
"Lately, headache has started along with nausea and throbbing pain.",Migraine
I have sensitivity to light and also headache.,Migraine
There is throbbing pain and it feels like nausea.,Migraine
There is nausea and it feels like headache.,Migraine
My nausea and throbbing pain are bothering me a lot.,Migraine
My throbbing pain and nausea are bothering me a lot.,Migraine
"Lately, sensitivity to light has started along with headache and throbbing pain.",Migraine
"Lately, nausea has started along with headache and sensitivity to light.",Migraine
There is headache and it feels like nausea.,Migraine
"Lately, nausea has started along with sensitivity to light and throbbing pain.",Migraine
"I feel sensitivity to light, nausea, and sometimes even throbbing pain.",Migraine
There is nausea and it feels like throbbing pain.,Migraine
I have been experiencing sensitivity to light and throbbing pain recently.,Migraine
My throbbing pain and sensitivity to light are bothering me a lot.,Migraine
I have headache and also nausea.,Migraine
I have throbbing pain and also nausea.,Migraine
I have been experiencing headache and nausea recently.,Migraine
I have been experiencing sensitivity to light and headache recently.,Migraine
"Lately, throbbing pain has started along with nausea and sensitivity to light.",Migraine
"Since yesterday, I have noticed sensitivity to light, nausea, and headache.",Migraine
My nausea and sensitivity to light are bothering me a lot.,Migraine
There is sensitivity to light and it feels like nausea.,Migraine
"Since yesterday, I have noticed nausea, headache, and throbbing pain.",Migraine
My throbbing pain and nausea are bothering me a lot.,Migraine
I have throbbing pain and also headache.,Migraine
"Since yesterday, I have noticed throbbing pain, sensitivity to light, and nausea.",Migraine
There is sensitivity to light and it feels like nausea.,Migraine
I have sensitivity to light and also nausea.,Migraine
"Since yesterday, I have noticed sensitivity to light, headache, and nausea.",Migraine
I have nausea and also throbbing pain.,Migraine
I have been experiencing nausea and headache recently.,Migraine
I have been experiencing nausea and sensitivity to light recently.,Migraine
"Lately, nausea has started along with headache and throbbing pain.",Migraine
"Since yesterday, I have noticed throbbing pain, sensitivity to light, and headache.",Migraine
"Lately, nausea has started along with headache and throbbing pain.",Migraine
"I feel throbbing pain, sensitivity to light, and sometimes even headache.",Migraine
"Lately, sensitivity to light has started along with nausea and throbbing pain.",Migraine
There is throbbing pain and it feels like nausea.,Migraine
My sensitivity to light and nausea are bothering me a lot.,Migraine
There is sensitivity to light and it feels like headache.,Migraine
There is nausea and it feels like throbbing pain.,Migraine
"I feel throbbing pain, headache, and sometimes even sensitivity to light.",Migraine
"Lately, sensitivity to light has started along with nausea and throbbing pain.",Migraine
I have been experiencing nausea and sensitivity to light recently.,Migraine
"Since yesterday, I have noticed nausea, sensitivity to light, and headache.",Migraine
My headache and sensitivity to light are bothering me a lot.,Migraine
"Since yesterday, I have noticed sensitivity to light, throbbing pain, and headache.",Migraine
I have been experiencing headache and throbbing pain recently.,Migraine
I have been experiencing nausea and headache recently.,Migraine
"Lately, nausea has started along with throbbing pain and headache.",Migraine
I have sensitivity to light and also headache.,Migraine
"Since yesterday, I have noticed sensitivity to light, nausea, and headache.",Migraine
"I feel throbbing pain, nausea, and sometimes even headache.",Migraine
There is throbbing pain and it feels like sensitivity to light.,Migraine
"Since yesterday, I have noticed sensitivity to light, headache, and nausea.",Migraine
I have throbbing pain and also headache.,Migraine
My throbbing pain and headache are bothering me a lot.,Migraine
"Lately, sensitivity to light has started along with nausea and headache.",Migraine
My sensitivity to light and headache are bothering me a lot.,Migraine
"Since yesterday, I have noticed sensitivity to light, nausea, and headache.",Migraine
"Since yesterday, I have noticed headache, nausea, and sensitivity to light.",Migraine
I have headache and also nausea.,Migraine
"Since yesterday, I have noticed throbbing pain, sensitivity to light, and headache.",Migraine
There is headache and it feels like throbbing pain.,Migraine
There is throbbing pain and it feels like sensitivity to light.,Migraine
I have been experiencing throbbing pain and sensitivity to light recently.,Migraine
My headache and nausea are bothering me a lot.,Migraine
"Since yesterday, I have noticed nausea, throbbing pain, and headache.",Migraine
"Lately, sensitivity to light has started along with nausea and throbbing pain.",Migraine
"I feel headache, throbbing pain, and sometimes even nausea.",Migraine
My headache and sensitivity to light are bothering me a lot.,Migraine
I have been experiencing throbbing pain and headache recently.,Migraine
"Lately, nausea has started along with sensitivity to light and throbbing pain.",Migraine
There is sensitivity to light and it feels like throbbing pain.,Migraine
I have throbbing pain and also sensitivity to light.,Migraine
"Since yesterday, I have noticed nausea, headache, and throbbing pain.",Migraine
"Since yesterday, I have noticed throbbing pain, headache, and nausea.",Migraine
I have been experiencing nausea and headache recently.,Migraine
"Since yesterday, I have noticed throbbing pain, headache, and sensitivity to light.",Migraine
There is nausea and it feels like throbbing pain.,Migraine
"I feel nausea, headache, and sometimes even throbbing pain.",Migraine
My nausea and throbbing pain are bothering me a lot.,Migraine
There is sensitivity to light and it feels like headache.,Migraine
There is sensitivity to light and it feels like nausea.,Migraine
There is nausea and it feels like sensitivity to light.,Migraine
There is headache and it feels like throbbing pain.,Migraine
There is nausea and it feels like throbbing pain.,Migraine
There is headache and it feels like nausea.,Migraine
"Lately, nausea has started along with throbbing pain and headache.",Migraine
My headache and throbbing pain are bothering me a lot.,Migraine
My headache and nausea are bothering me a lot.,Migraine
"Since yesterday, I have noticed headache, sensitivity to light, and throbbing pain.",Migraine
There is sensitivity to light and it feels like headache.,Migraine
My throbbing pain and headache are bothering me a lot.,Migraine
"I feel throbbing pain, sensitivity to light, and sometimes even nausea.",Migraine
There is sensitivity to light and it feels like nausea.,Migraine
"Lately, nausea has started along with throbbing pain and headache.",Migraine
My sensitivity to light and headache are bothering me a lot.,Migraine
"Since yesterday, I have noticed throbbing pain, nausea, and headache.",Migraine
I have headache and also nausea.,Migraine
My nausea and sensitivity to light are bothering me a lot.,Migraine
I have been experiencing nausea and throbbing pain recently.,Migraine
"Since yesterday, I have noticed nausea, sensitivity to light, and throbbing pain.",Migraine
My sensitivity to light and nausea are bothering me a lot.,Migraine
My sensitivity to light and throbbing pain are bothering me a lot.,Migraine
I have been experiencing blurred vision and headache recently.,Hypertension
I have dizziness and also headache.,Hypertension
"Since yesterday, I have noticed headache, chest pain, and blurred vision.",Hypertension
"Lately, blurred vision has started along with headache and chest pain.",Hypertension
"Since yesterday, I have noticed headache, dizziness, and chest pain.",Hypertension
"Since yesterday, I have noticed dizziness, blurred vision, and headache.",Hypertension
I have dizziness and also blurred vision.,Hypertension
I have been experiencing blurred vision and dizziness recently.,Hypertension
I have dizziness and also chest pain.,Hypertension
There is blurred vision and it feels like dizziness.,Hypertension
"Lately, headache has started along with blurred vision and dizziness.",Hypertension
I have been experiencing headache and chest pain recently.,Hypertension
"Since yesterday, I have noticed chest pain, headache, and dizziness.",Hypertension
I have blurred vision and also headache.,Hypertension
I have been experiencing blurred vision and dizziness recently.,Hypertension
There is chest pain and it feels like headache.,Hypertension
I have been experiencing dizziness and chest pain recently.,Hypertension
I have been experiencing dizziness and headache recently.,Hypertension
"I feel headache, dizziness, and sometimes even blurred vision.",Hypertension
My headache and chest pain are bothering me a lot.,Hypertension
"Lately, dizziness has started along with headache and chest pain.",Hypertension
My headache and dizziness are bothering me a lot.,Hypertension
I have been experiencing dizziness and chest pain recently.,Hypertension
"I feel dizziness, headache, and sometimes even blurred vision.",Hypertension
"Lately, chest pain has started along with blurred vision and headache.",Hypertension
I have headache and also chest pain.,Hypertension
My blurred vision and dizziness are bothering me a lot.,Hypertension
I have been experiencing chest pain and blurred vision recently.,Hypertension
I have been experiencing blurred vision and chest pain recently.,Hypertension
There is dizziness and it feels like chest pain.,Hypertension
There is blurred vision and it feels like headache.,Hypertension
"Since yesterday, I have noticed dizziness, headache, and chest pain.",Hypertension
My chest pain and dizziness are bothering me a lot.,Hypertension
There is dizziness and it feels like headache.,Hypertension
"Lately, blurred vision has started along with headache and dizziness.",Hypertension
I have dizziness and also blurred vision.,Hypertension
There is dizziness and it feels like blurred vision.,Hypertension
My dizziness and headache are bothering me a lot.,Hypertension
I have been experiencing chest pain and dizziness recently.,Hypertension
"Since yesterday, I have noticed chest pain, headache, and dizziness.",Hypertension
I have been experiencing headache and blurred vision recently.,Hypertension
"I feel headache, chest pain, and sometimes even dizziness.",Hypertension
I have dizziness and also blurred vision.,Hypertension
I have been experiencing dizziness and blurred vision recently.,Hypertension
There is headache and it feels like blurred vision.,Hypertension
"Since yesterday, I have noticed chest pain, blurred vision, and dizziness.",Hypertension
I have been experiencing headache and dizziness recently.,Hypertension
"Lately, blurred vision has started along with headache and dizziness.",Hypertension
"I feel blurred vision, headache, and sometimes even dizziness.",Hypertension
"Since yesterday, I have noticed headache, dizziness, and chest pain.",Hypertension
"I feel chest pain, headache, and sometimes even dizziness.",Hypertension
"Since yesterday, I have noticed chest pain, dizziness, and blurred vision.",Hypertension
I have chest pain and also blurred vision.,Hypertension
There is dizziness and it feels like headache.,Hypertension
I have been experiencing headache and dizziness recently.,Hypertension
"Since yesterday, I have noticed chest pain, blurred vision, and headache.",Hypertension
My chest pain and dizziness are bothering me a lot.,Hypertension
I have chest pain and also headache.,Hypertension
There is chest pain and it feels like headache.,Hypertension
I have chest pain and also headache.,Hypertension
I have headache and also dizziness.,Hypertension
I have dizziness and also chest pain.,Hypertension
I have dizziness and also chest pain.,Hypertension
"I feel blurred vision, dizziness, and sometimes even chest pain.",Hypertension
I have blurred vision and also headache.,Hypertension
My chest pain and dizziness are bothering me a lot.,Hypertension
"Since yesterday, I have noticed chest pain, dizziness, and blurred vision.",Hypertension
"I feel dizziness, chest pain, and sometimes even headache.",Hypertension
"I feel chest pain, dizziness, and sometimes even headache.",Hypertension
My headache and chest pain are bothering me a lot.,Hypertension
"Lately, chest pain has started along with headache and blurred vision.",Hypertension
"Since yesterday, I have noticed dizziness, blurred vision, and headache.",Hypertension
My dizziness and headache are bothering me a lot.,Hypertension
I have been experiencing blurred vision and dizziness recently.,Hypertension
I have been experiencing blurred vision and headache recently.,Hypertension
My chest pain and dizziness are bothering me a lot.,Hypertension
"I feel dizziness, blurred vision, and sometimes even chest pain.",Hypertension
My dizziness and chest pain are bothering me a lot.,Hypertension
"I feel blurred vision, headache, and sometimes even dizziness.",Hypertension
There is dizziness and it feels like chest pain.,Hypertension
There is dizziness and it feels like headache.,Hypertension
I have headache and also blurred vision.,Hypertension
"Since yesterday, I have noticed dizziness, chest pain, and headache.",Hypertension
My dizziness and chest pain are bothering me a lot.,Hypertension
I have blurred vision and also headache.,Hypertension
"I feel chest pain, blurred vision, and sometimes even headache.",Hypertension
I have headache and also blurred vision.,Hypertension
"I feel chest pain, dizziness, and sometimes even blurred vision.",Hypertension
I have been experiencing dizziness and blurred vision recently.,Hypertension
There is headache and it feels like blurred vision.,Hypertension
There is blurred vision and it feels like dizziness.,Hypertension
I have been experiencing headache and dizziness recently.,Hypertension
"I feel dizziness, blurred vision, and sometimes even chest pain.",Hypertension
My blurred vision and dizziness are bothering me a lot.,Hypertension
My blurred vision and chest pain are bothering me a lot.,Hypertension
My dizziness and blurred vision are bothering me a lot.,Hypertension
"Lately, headache has started along with dizziness and blurred vision.",Hypertension
"Lately, blurred vision has started along with headache and dizziness.",Hypertension
There is headache and it feels like chest pain.,Hypertension
"Since yesterday, I have noticed chest pain, dizziness, and blurred vision.",Hypertension
I have been experiencing headache and blurred vision recently.,Hypertension
I have blurred vision and also chest pain.,Hypertension
I have been experiencing chest pain and dizziness recently.,Hypertension
"Lately, chest pain has started along with blurred vision and headache.",Hypertension
I have dizziness and also headache.,Hypertension
I have chest pain and also headache.,Hypertension
I have blurred vision and also chest pain.,Hypertension
I have been experiencing chest pain and blurred vision recently.,Hypertension
"Lately, chest pain has started along with dizziness and blurred vision.",Hypertension
There is headache and it feels like dizziness.,Hypertension
"Lately, chest pain has started along with blurred vision and headache.",Hypertension
There is chest pain and it feels like headache.,Hypertension
I have been experiencing blurred vision and chest pain recently.,Hypertension
My chest pain and dizziness are bothering me a lot.,Hypertension
I have been experiencing blurred vision and chest pain recently.,Hypertension
"I feel dizziness, chest pain, and sometimes even headache.",Hypertension
I have been experiencing dizziness and blurred vision recently.,Hypertension
I have been experiencing blurred vision and chest pain recently.,Hypertension
"Lately, dizziness has started along with chest pain and headache.",Hypertension
My dizziness and headache are bothering me a lot.,Hypertension
"I feel blurred vision, headache, and sometimes even dizziness.",Hypertension
There is blurred vision and it feels like headache.,Hypertension
There is dizziness and it feels like headache.,Hypertension
"Since yesterday, I have noticed headache, chest pain, and dizziness.",Hypertension
My dizziness and blurred vision are bothering me a lot.,Hypertension
I have dizziness and also headache.,Hypertension
"Since yesterday, I have noticed headache, dizziness, and chest pain.",Hypertension
I have blurred vision and also chest pain.,Hypertension
I have headache and also blurred vision.,Hypertension
"Since yesterday, I have noticed chest pain, headache, and blurred vision.",Hypertension
I have blurred vision and also headache.,Hypertension
"Lately, blurred vision has started along with headache and dizziness.",Hypertension
"Lately, headache has started along with dizziness and blurred vision.",Hypertension
I have been experiencing headache and chest pain recently.,Hypertension
"Lately, blurred vision has started along with headache and dizziness.",Hypertension
"Since yesterday, I have noticed blurred vision, dizziness, and headache.",Hypertension
I have dizziness and also chest pain.,Hypertension
My chest pain and dizziness are bothering me a lot.,Hypertension
"Since yesterday, I have noticed blurred vision, dizziness, and chest pain.",Hypertension
There is blurred vision and it feels like dizziness.,Hypertension
My chest pain and blurred vision are bothering me a lot.,Hypertension
There is headache and it feels like dizziness.,Hypertension
"Lately, dizziness has started along with headache and chest pain.",Hypertension
"I feel headache, dizziness, and sometimes even blurred vision.",Hypertension
I have dizziness and also chest pain.,Hypertension
I have blurred vision and also chest pain.,Hypertension
There is chest pain and it feels like dizziness.,Hypertension
"I feel blurred vision, dizziness, and sometimes even headache.",Hypertension
"I feel chest pain, blurred vision, and sometimes even headache.",Hypertension
I have headache and also blurred vision.,Hypertension
"Lately, increased thirst has started along with frequent urination and fatigue.",Diabetes
I have frequent urination and also increased thirst.,Diabetes
There is increased thirst and it feels like weight loss.,Diabetes
My frequent urination and increased thirst are bothering me a lot.,Diabetes
"Lately, frequent urination has started along with increased thirst and weight loss.",Diabetes
There is increased thirst and it feels like weight loss.,Diabetes
"I feel increased thirst, fatigue, and sometimes even frequent urination.",Diabetes
"Since yesterday, I have noticed frequent urination, fatigue, and weight loss.",Diabetes
"Lately, frequent urination has started along with increased thirst and fatigue.",Diabetes
"Lately, fatigue has started along with weight loss and frequent urination.",Diabetes
There is weight loss and it feels like fatigue.,Diabetes
"Since yesterday, I have noticed increased thirst, weight loss, and fatigue.",Diabetes
"Since yesterday, I have noticed frequent urination, weight loss, and fatigue.",Diabetes
There is fatigue and it feels like increased thirst.,Diabetes
I have been experiencing frequent urination and increased thirst recently.,Diabetes
"I feel fatigue, frequent urination, and sometimes even increased thirst.",Diabetes
I have frequent urination and also fatigue.,Diabetes
"Since yesterday, I have noticed increased thirst, weight loss, and fatigue.",Diabetes
There is fatigue and it feels like frequent urination.,Diabetes
"Lately, increased thirst has started along with weight loss and fatigue.",Diabetes
I have been experiencing increased thirst and fatigue recently.,Diabetes
I have frequent urination and also weight loss.,Diabetes
I have been experiencing frequent urination and weight loss recently.,Diabetes
"Lately, fatigue has started along with increased thirst and frequent urination.",Diabetes
"Lately, fatigue has started along with increased thirst and frequent urination.",Diabetes
I have frequent urination and also increased thirst.,Diabetes
"Lately, frequent urination has started along with weight loss and fatigue.",Diabetes
"Lately, frequent urination has started along with weight loss and increased thirst.",Diabetes
"I feel fatigue, weight loss, and sometimes even increased thirst.",Diabetes
I have fatigue and also frequent urination.,Diabetes
"I feel frequent urination, weight loss, and sometimes even fatigue.",Diabetes
I have been experiencing frequent urination and weight loss recently.,Diabetes
"Since yesterday, I have noticed frequent urination, weight loss, and fatigue.",Diabetes
My frequent urination and weight loss are bothering me a lot.,Diabetes
"Since yesterday, I have noticed frequent urination, weight loss, and fatigue.",Diabetes
"Lately, increased thirst has started along with frequent urination and fatigue.",Diabetes
"Since yesterday, I have noticed fatigue, weight loss, and frequent urination.",Diabetes
There is increased thirst and it feels like fatigue.,Diabetes
I have been experiencing fatigue and weight loss recently.,Diabetes
My frequent urination and fatigue are bothering me a lot.,Diabetes
There is increased thirst and it feels like frequent urination.,Diabetes
I have been experiencing increased thirst and weight loss recently.,Diabetes
I have been experiencing frequent urination and increased thirst recently.,Diabetes
My frequent urination and weight loss are bothering me a lot.,Diabetes
There is weight loss and it feels like frequent urination.,Diabetes
There is fatigue and it feels like increased thirst.,Diabetes
I have increased thirst and also frequent urination.,Diabetes
"Since yesterday, I have noticed weight loss, frequent urination, and fatigue.",Diabetes
"I feel fatigue, frequent urination, and sometimes even increased thirst.",Diabetes
There is frequent urination and it feels like increased thirst.,Diabetes
My increased thirst and fatigue are bothering me a lot.,Diabetes
My fatigue and weight loss are bothering me a lot.,Diabetes
"Since yesterday, I have noticed fatigue, frequent urination, and weight loss.",Diabetes
"Since yesterday, I have noticed frequent urination, weight loss, and fatigue.",Diabetes
I have been experiencing weight loss and frequent urination recently.,Diabetes
"Lately, increased thirst has started along with fatigue and frequent urination.",Diabetes
"Lately, weight loss has started along with increased thirst and frequent urination.",Diabetes
There is weight loss and it feels like increased thirst.,Diabetes
My weight loss and frequent urination are bothering me a lot.,Diabetes
I have been experiencing weight loss and increased thirst recently.,Diabetes
There is frequent urination and it feels like fatigue.,Diabetes
There is increased thirst and it feels like fatigue.,Diabetes
"Lately, increased thirst has started along with frequent urination and weight loss.",Diabetes
"I feel fatigue, weight loss, and sometimes even frequent urination.",Diabetes
I have increased thirst and also fatigue.,Diabetes
I have fatigue and also weight loss.,Diabetes
"Lately, fatigue has started along with weight loss and increased thirst.",Diabetes
"Since yesterday, I have noticed weight loss, frequent urination, and fatigue.",Diabetes
My frequent urination and fatigue are bothering me a lot.,Diabetes
I have been experiencing increased thirst and frequent urination recently.,Diabetes
My fatigue and increased thirst are bothering me a lot.,Diabetes
